deep_id,author_id,uncertain
5069.02,65,false
5070,65,false
5070.01,65,false
5070.02,65,false
5071,61,false
5071.01,61,false
5072,81,false
5072.01,81,false
5072.02,81,false
5073,87,false
5073.01,87,false
5073.02,87,false
5074,69,false
5074.01,69,false
5074.02,69,false
5074.03,69,false
5074.04,69,false
5074.05,69,false
5074.06,69,false
5074.07,69,false
5074.08,69,false
5074.09,69,false
5074.10,69,false
5074.11,69,false
5074.12,69,false
5074.13,69,false
5074.14,69,false
5074.15,69,false
5074.16,69,false
5074.17,69,false
5074.18,69,false
5074.19,69,false
5074.20,69,false
5074.21,69,false
5074.22,69,false
5074.23,69,false
5074.24,69,false
5074.25,69,false
5074.26,69,false
5074.27,69,false
5074.28,69,false
5074.29,69,false
5074.30,69,false
5074.31,69,false
5074.32,69,false
5074.33,69,false
5074.34,69,false
5075,69,false
5076,69,false
5076.01,69,false
5076.02,69,false
5076.03,69,false
5076.04,69,false
5076.05,69,false
5076.06,69,false
5076.07,69,false
5076.08,69,false
5076.09,69,false
5076.10,69,false
5076.11,69,false
5076.12,69,false
5076.13,69,false
5076.14,69,false
5076.15,69,false
5076.16,69,false
5076.17,69,false
5076.18,69,false
5076.19,69,false
5076.20,69,false
5076.21,69,false
5076.22,69,false
5076.23,69,false
5076.24,69,false
5076.25,69,false
5076.26,69,false
5076.27,69,false
5077,57,false
5077.01,57,false
5077.02,57,false
5077.03,57,false
5077.03,92,false
5078,81,false
5078.01,81,false
5078.02,81,false
5078.03,81,false
5078.04,81,false
5078.05,81,false
5078.06,81,false
5078.07,81,false
5078.08,81,false
5078.09,81,false
5078.10,81,false
5079,61,false
5079.01,61,false
5079.02,61,false
5079.03,61,false
5079.04,61,false
5079.05,61,false
5080,61,false
5081,57,false
5081.01,57,false
5081.02,57,false
5081.03,57,false
5081.04,57,false
5081.04,81,false
5081.05,57,false
5081.06,57,false
5081.07,57,false
5081.08,57,false
5081.09,57,false
5081.10,57,false
5081.11,57,false
5081.12,57,false
5081.13,57,false
5081.14,57,false
5081.15,57,false
5081.16,57,false
5081.17,57,false
5081.18,57,false
5081.19,57,false
5081.20,57,false
5081.20,60,false
5081.21,57,false
5081.22,57,false
5081.23,57,false
5081.24,57,false
5081.24,90,false
5081.25,57,false
5081.26,57,false
5081.27,57,false
5081.27,41,false
5081.28,57,false
5081.29,57,false
5081.29,81,false
5081.30,57,false
5081.31,57,false
5081.31,81,false
5081.32,57,false
5081.33,57,false
5081.34,57,false
5081.35,57,false
5081.36,57,false
5082,57,false
5082.01,57,false
5082.02,57,false
5082.03,57,false
5082.04,57,false
5082.04,81,false
5082.05,57,false
5082.06,57,false
5082.07,57,false
5082.08,57,false
5082.09,57,false
5082.10,57,false
5082.11,57,false
5082.12,57,false
5082.13,57,false
5082.14,57,false
5082.15,57,false
5082.16,57,false
5082.17,57,false
5082.18,57,false
5082.19,57,false
5082.20,57,false
5082.20,60,false
5082.21,57,false
5082.22,57,false
5082.23,57,false
5082.24,57,false
5082.24,90,false
5082.25,57,false
5082.26,57,false
5082.27,57,false
5082.27,41,false
5082.28,57,false
5082.29,57,false
5082.29,81,false
5082.30,57,false
5082.31,57,false
5082.31,81,false
5082.32,57,false
5082.33,57,false
5082.34,57,false
5082.35,57,false
5082.36,57,false
5083,57,false
5084,57,false
5085,57,false
5086,57,false
5087,57,false
5088,57,false
5089,57,false
5090,252,false
5090,3,false
5090.01,252,false
5090.01,3,false
5090.02,252,false
5090.02,3,false
5091,140,false
5091.01,140,false
5091.02,140,false
5092,140,false
5092.01,140,false
5092.02,140,false
5093,140,false
5093.01,140,false
5093.02,140,false
5094,140,false
5094.01,140,false
5094.02,140,false
5095,140,false
5095.01,140,false
5095.02,140,false
5096,140,false
5096.01,140,false
5096.02,140,false
5097,69,false
5097.01,69,false
5097.02,69,false
5097.03,69,false
5097.04,69,false
5098,40,false
5098.01,40,false
5098.02,40,false
5098.03,40,false
5098.04,40,false
5098.05,40,false
5098.06,40,false
5098.07,40,false
5098.08,40,false
5099,40,false
5100,125,false
5100.01,125,false
5101,97,false
5101.01,97,false
5101.02,97,false
5102,73,false
5102.01,73,false
5102.02,73,false
5102.03,73,false
5102.04,73,false
5102.05,73,false
5102.06,73,false
5102.07,73,false
5102.08,73,false
5102.09,73,false
5102.10,73,false
5102.11,73,false
5102.12,73,false
5103,73,false
5104,253,false
5104.01,130,false
5104.01,131,false
5105,78,false
5105.01,78,false
5105.02,78,false
5105.03,78,false
5106,79,false
5106.01,79,false
5106.02,79,false
5106.03,79,false
5106.04,79,false
5107,150,false
5107.01,150,false
5107.02,150,false
5108,150,false
5109,150,false
5110,150,false
5111,140,false
5111.01,140,false
5111.02,140,false
5112,140,false
5112.01,140,false
5112.02,140,false
5113,140,false
5114,140,false
5114.01,140,false
5114.02,140,false
5114.03,140,false
5114.04,140,false
5115,140,false
5116,140,false
5116.01,140,false
5116.02,140,false
5116.03,140,false
5116.04,140,false
5116.05,140,false
5117,140,false
5118,150,false
5118.01,150,false
5118.02,150,false
5118.03,150,false
5118.04,150,false
5118.05,150,false
5118.06,150,false
5118.09,150,false
5118.10,150,false
5119,128,false
5119.01,128,false
5119.02,128,false
5120,69,false
5120,254,false
5120.01,69,false
5120.02,69,false
5121,69,false
5121,254,false
5122,69,false
5122,254,false
5123,69,false
5123,254,false
5124,69,false
5124.01,69,false
5124.02,69,false
5124.03,69,false
5124.04,69,false
5124.05,69,false
5124.06,69,false
5124.07,69,false
5124.08,69,false
5124.09,69,false
5124.10,69,false
5124.11,69,false
5124.12,69,false
5124.13,69,false
5124.14,69,false
5124.15,69,false
5124.16,69,false
5124.17,69,false
5124.18,69,false
5124.19,69,false
5124.20,69,false
5124.21,69,false
5125,69,false
5125.01,69,false
5126,145,false
5126.01,145,false
5126.02,145,false
5127,145,false
5127.01,145,false
5128,145,false
5128.01,145,false
5129,145,false
5130,196,false
5130.01,196,false
5131,196,false
5131.01,196,false
5132,255,false
5132.01,255,false
5132.02,255,false
5133,152,false
5133.01,152,false
5133.02,152,false
5134,129,false
5134.01,129,false
5135,158,false
5135.01,158,false
